file_id,species,processed_path,spectrogram_path,preview_path,duration_sec,sample_rate
ML634942421_-_2025-10-21T224349.216,pickerel_frog,data\processed\pickerel_frog\ML634942421_-_2025-10-21T224349.216.wav,data\spectrograms\pickerel_frog\ML634942421_-_2025-10-21T224349.216.npy,data\spectrograms\preview\pickerel_frog\ML634942421_-_2025-10-21T224349.216.png,10.0,22050
ML228860_-_2025-10-21T222620.986,pickerel_frog,data\processed\pickerel_frog\ML228860_-_2025-10-21T222620.986.wav,data\spectrograms\pickerel_frog\ML228860_-_2025-10-21T222620.986.npy,data\spectrograms\preview\pickerel_frog\ML228860_-_2025-10-21T222620.986.png,10.0,22050
ML56797,american_toad,data\processed\american_toad\ML56797.wav,data\spectrograms\american_toad\ML56797.npy,data\spectrograms\preview\american_toad\ML56797.png,10.0,22050
Fowler's_Toad___Bufo_fowleri,fowlers_toad,data\processed\fowlers_toad\Fowler's_Toad___Bufo_fowleri.wav,data\spectrograms\fowlers_toad\Fowler's_Toad___Bufo_fowleri.npy,data\spectrograms\preview\fowlers_toad\Fowler's_Toad___Bufo_fowleri.png,10.0,22050
ML506563231,southern_leopard_frog,data\processed\southern_leopard_frog\ML506563231.wav,data\spectrograms\southern_leopard_frog\ML506563231.npy,data\spectrograms\preview\southern_leopard_frog\ML506563231.png,10.0,22050
ML209092,american_toad,data\processed\american_toad\ML209092.wav,data\spectrograms\american_toad\ML209092.npy,data\spectrograms\preview\american_toad\ML209092.png,10.0,22050
XC983494_-_North_American_Green_Treefrog_-_Dryophytes_cinereus,green_tree_frog,data\processed\green_tree_frog\XC983494_-_North_American_Green_Treefrog_-_Dryophytes_cinereus.wav,data\spectrograms\green_tree_frog\XC983494_-_North_American_Green_Treefrog_-_Dryophytes_cinereus.npy,data\spectrograms\preview\green_tree_frog\XC983494_-_North_American_Green_Treefrog_-_Dryophytes_cinereus.png,10.0,22050
Green_Frog___Rana_clamitans,green_frog,data\processed\green_frog\Green_Frog___Rana_clamitans.wav,data\spectrograms\green_frog\Green_Frog___Rana_clamitans.npy,data\spectrograms\preview\green_frog\Green_Frog___Rana_clamitans.png,10.0,22050
ML506562951,northern_cricket_frog,data\processed\northern_cricket_frog\ML506562951.wav,data\spectrograms\northern_cricket_frog\ML506562951.npy,data\spectrograms\preview\northern_cricket_frog\ML506562951.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-21,green_tree_frog,data\processed\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-21.wav,data\spectrograms\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-21.npy,data\spectrograms\preview\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-21.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-93,green_tree_frog,data\processed\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-93.wav,data\spectrograms\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-93.npy,data\spectrograms\preview\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-93.png,10.0,22050
ML305838,american_bullfrog,data\processed\american_bullfrog\ML305838.wav,data\spectrograms\american_bullfrog\ML305838.npy,data\spectrograms\preview\american_bullfrog\ML305838.png,10.0,22050
225147,northern_cricket_frog,data\processed\northern_cricket_frog\225147.wav,data\spectrograms\northern_cricket_frog\225147.npy,data\spectrograms\preview\northern_cricket_frog\225147.png,10.0,22050
ML634942423-_2025-10-21T224635.020,pickerel_frog,data\processed\pickerel_frog\ML634942423-_2025-10-21T224635.020.wav,data\spectrograms\pickerel_frog\ML634942423-_2025-10-21T224635.020.npy,data\spectrograms\preview\pickerel_frog\ML634942423-_2025-10-21T224635.020.png,10.0,22050
ML207891,northern_cricket_frog,data\processed\northern_cricket_frog\ML207891.wav,data\spectrograms\northern_cricket_frog\ML207891.npy,data\spectrograms\preview\northern_cricket_frog\ML207891.png,10.0,22050
"Bullfrog,_fastest_and_largest_N._American_frog.",american_bullfrog,"data\processed\american_bullfrog\Bullfrog,_fastest_and_largest_N._American_frog..wav","data\spectrograms\american_bullfrog\Bullfrog,_fastest_and_largest_N._American_frog..npy","data\spectrograms\preview\american_bullfrog\Bullfrog,_fastest_and_largest_N._American_frog..png",10.0,22050
XC1001883_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,data\processed\american_bullfrog\XC1001883_-_American_Bullfrog_-_Aquarana_catesbeiana.wav,data\spectrograms\american_bullfrog\XC1001883_-_American_Bullfrog_-_Aquarana_catesbeiana.npy,data\spectrograms\preview\american_bullfrog\XC1001883_-_American_Bullfrog_-_Aquarana_catesbeiana.png,10.0,22050
ML207890,northern_cricket_frog,data\processed\northern_cricket_frog\ML207890.wav,data\spectrograms\northern_cricket_frog\ML207890.npy,data\spectrograms\preview\northern_cricket_frog\ML207890.png,10.0,22050
ML183837,green_tree_frog,data\processed\green_tree_frog\ML183837.wav,data\spectrograms\green_tree_frog\ML183837.npy,data\spectrograms\preview\green_tree_frog\ML183837.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-73,southern_leopard_frog,data\processed\southern_leopard_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-73.wav,data\spectrograms\southern_leopard_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-73.npy,data\spectrograms\preview\southern_leopard_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-73.png,10.0,22050
ML166470-_2025-10-21T221838.415,pickerel_frog,data\processed\pickerel_frog\ML166470-_2025-10-21T221838.415.wav,data\spectrograms\pickerel_frog\ML166470-_2025-10-21T221838.415.npy,data\spectrograms\preview\pickerel_frog\ML166470-_2025-10-21T221838.415.png,10.0,22050
ML506567291,american_bullfrog,data\processed\american_bullfrog\ML506567291.wav,data\spectrograms\american_bullfrog\ML506567291.npy,data\spectrograms\preview\american_bullfrog\ML506567291.png,10.0,22050
ML183865,green_tree_frog,data\processed\green_tree_frog\ML183865.wav,data\spectrograms\green_tree_frog\ML183865.npy,data\spectrograms\preview\green_tree_frog\ML183865.png,10.0,22050
American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls,american_bullfrog,data\processed\american_bullfrog\American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls.wav,data\spectrograms\american_bullfrog\American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls.npy,data\spectrograms\preview\american_bullfrog\American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls.png,10.0,22050
ML209061,american_toad,data\processed\american_toad\ML209061.wav,data\spectrograms\american_toad\ML209061.npy,data\spectrograms\preview\american_toad\ML209061.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-81,american_bullfrog,data\processed\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-81.wav,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-81.npy,data\spectrograms\preview\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-81.png,10.0,22050
ML182025,american_bullfrog,data\processed\american_bullfrog\ML182025.wav,data\spectrograms\american_bullfrog\ML182025.npy,data\spectrograms\preview\american_bullfrog\ML182025.png,10.0,22050
Green_Treefrog___Hyla_cinerea,green_tree_frog,data\processed\green_tree_frog\Green_Treefrog___Hyla_cinerea.wav,data\spectrograms\green_tree_frog\Green_Treefrog___Hyla_cinerea.npy,data\spectrograms\preview\green_tree_frog\Green_Treefrog___Hyla_cinerea.png,10.0,22050
mixkit-females-laugh-425,not_frogs,data\processed\not_frogs\mixkit-females-laugh-425.wav,data\spectrograms\not_frogs\mixkit-females-laugh-425.npy,data\spectrograms\preview\not_frogs\mixkit-females-laugh-425.png,10.0,22050
ML193953,northern_cricket_frog,data\processed\northern_cricket_frog\ML193953.wav,data\spectrograms\northern_cricket_frog\ML193953.npy,data\spectrograms\preview\northern_cricket_frog\ML193953.png,10.0,22050
lion_2,not_frogs,data\processed\not_frogs\lion_2.wav,data\spectrograms\not_frogs\lion_2.npy,data\spectrograms\preview\not_frogs\lion_2.png,10.0,22050
mixkit-big-wild-cat-slow-moan-90,not_frogs,data\processed\not_frogs\mixkit-big-wild-cat-slow-moan-90.wav,data\spectrograms\not_frogs\mixkit-big-wild-cat-slow-moan-90.npy,data\spectrograms\preview\not_frogs\mixkit-big-wild-cat-slow-moan-90.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-83,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2003-c3-track-83.wav,data\spectrograms\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2003-c3-track-83.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2003-c3-track-83.png,10.0,22050
mixkit-angry-male-crowd-ambience-458,not_frogs,data\processed\not_frogs\mixkit-angry-male-crowd-ambience-458.wav,data\spectrograms\not_frogs\mixkit-angry-male-crowd-ambience-458.npy,data\spectrograms\preview\not_frogs\mixkit-angry-male-crowd-ambience-458.png,10.0,22050
ML207046,fowlers_toad,data\processed\fowlers_toad\ML207046.wav,data\spectrograms\fowlers_toad\ML207046.npy,data\spectrograms\preview\fowlers_toad\ML207046.png,10.0,22050
ML620106678,northern_cricket_frog,data\processed\northern_cricket_frog\ML620106678.wav,data\spectrograms\northern_cricket_frog\ML620106678.npy,data\spectrograms\preview\northern_cricket_frog\ML620106678.png,10.0,22050
ML77288-_2025-10-21T215337.079,pickerel_frog,data\processed\pickerel_frog\ML77288-_2025-10-21T215337.079.wav,data\spectrograms\pickerel_frog\ML77288-_2025-10-21T215337.079.npy,data\spectrograms\preview\pickerel_frog\ML77288-_2025-10-21T215337.079.png,10.0,22050
ML209080,american_toad,data\processed\american_toad\ML209080.wav,data\spectrograms\american_toad\ML209080.npy,data\spectrograms\preview\american_toad\ML209080.png,10.0,22050
ML223225,northern_cricket_frog,data\processed\northern_cricket_frog\ML223225.wav,data\spectrograms\northern_cricket_frog\ML223225.npy,data\spectrograms\preview\northern_cricket_frog\ML223225.png,10.0,22050
ML199714,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199714.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199714.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199714.png,10.0,22050
ML183866,green_tree_frog,data\processed\green_tree_frog\ML183866.wav,data\spectrograms\green_tree_frog\ML183866.npy,data\spectrograms\preview\green_tree_frog\ML183866.png,10.0,22050
ML182123,american_bullfrog,data\processed\american_bullfrog\ML182123.wav,data\spectrograms\american_bullfrog\ML182123.npy,data\spectrograms\preview\american_bullfrog\ML182123.png,10.0,22050
ML637230210,green_frog,data\processed\green_frog\ML637230210.wav,data\spectrograms\green_frog\ML637230210.npy,data\spectrograms\preview\green_frog\ML637230210.png,10.0,22050
ML183735,green_tree_frog,data\processed\green_tree_frog\ML183735.wav,data\spectrograms\green_tree_frog\ML183735.npy,data\spectrograms\preview\green_tree_frog\ML183735.png,10.0,22050
ML207548,american_bullfrog,data\processed\american_bullfrog\ML207548.wav,data\spectrograms\american_bullfrog\ML207548.npy,data\spectrograms\preview\american_bullfrog\ML207548.png,10.0,22050
ML637199584,american_bullfrog,data\processed\american_bullfrog\ML637199584.wav,data\spectrograms\american_bullfrog\ML637199584.npy,data\spectrograms\preview\american_bullfrog\ML637199584.png,10.0,22050
ML638020498,green_frog,data\processed\green_frog\ML638020498.wav,data\spectrograms\green_frog\ML638020498.npy,data\spectrograms\preview\green_frog\ML638020498.png,10.0,22050
ML640727666,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML640727666.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML640727666.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML640727666.png,10.0,22050
ML307057,spring_peeper,data\processed\spring_peeper\ML307057.wav,data\spectrograms\spring_peeper\ML307057.npy,data\spectrograms\preview\spring_peeper\ML307057.png,10.0,22050
mixkit-woman-hilarious-laughing-410,not_frogs,data\processed\not_frogs\mixkit-woman-hilarious-laughing-410.wav,data\spectrograms\not_frogs\mixkit-woman-hilarious-laughing-410.npy,data\spectrograms\preview\not_frogs\mixkit-woman-hilarious-laughing-410.png,10.0,22050
ML169722,american_bullfrog,data\processed\american_bullfrog\ML169722.wav,data\spectrograms\american_bullfrog\ML169722.npy,data\spectrograms\preview\american_bullfrog\ML169722.png,10.0,22050
dogbark,not_frogs,data\processed\not_frogs\dogbark.wav,data\spectrograms\not_frogs\dogbark.npy,data\spectrograms\preview\not_frogs\dogbark.png,10.0,22050
ML183856,green_tree_frog,data\processed\green_tree_frog\ML183856.wav,data\spectrograms\green_tree_frog\ML183856.npy,data\spectrograms\preview\green_tree_frog\ML183856.png,10.0,22050
ML207805,eastern_spadefoot_toad,data\processed\eastern_spadefoot_toad\ML207805.wav,data\spectrograms\eastern_spadefoot_toad\ML207805.npy,data\spectrograms\preview\eastern_spadefoot_toad\ML207805.png,10.0,22050
ML183855,green_tree_frog,data\processed\green_tree_frog\ML183855.wav,data\spectrograms\green_tree_frog\ML183855.npy,data\spectrograms\preview\green_tree_frog\ML183855.png,10.0,22050
XC981003_-_American_Toad_-_Anaxyrus_americanus,american_toad,data\processed\american_toad\XC981003_-_American_Toad_-_Anaxyrus_americanus.wav,data\spectrograms\american_toad\XC981003_-_American_Toad_-_Anaxyrus_americanus.npy,data\spectrograms\preview\american_toad\XC981003_-_American_Toad_-_Anaxyrus_americanus.png,10.0,22050
ML183847,green_tree_frog,data\processed\green_tree_frog\ML183847.wav,data\spectrograms\green_tree_frog\ML183847.npy,data\spectrograms\preview\green_tree_frog\ML183847.png,10.0,22050
XC978634_-_North_American_Green_Treefrog_-_Dryophytes_cinereus,green_tree_frog,data\processed\green_tree_frog\XC978634_-_North_American_Green_Treefrog_-_Dryophytes_cinereus.wav,data\spectrograms\green_tree_frog\XC978634_-_North_American_Green_Treefrog_-_Dryophytes_cinereus.npy,data\spectrograms\preview\green_tree_frog\XC978634_-_North_American_Green_Treefrog_-_Dryophytes_cinereus.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-80,american_bullfrog,data\processed\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-80.wav,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-80.npy,data\spectrograms\preview\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-80.png,10.0,22050
XC980873_-_Spring_Peeper_-_Pseudacris_crucifer,spring_peeper,data\processed\spring_peeper\XC980873_-_Spring_Peeper_-_Pseudacris_crucifer.wav,data\spectrograms\spring_peeper\XC980873_-_Spring_Peeper_-_Pseudacris_crucifer.npy,data\spectrograms\preview\spring_peeper\XC980873_-_Spring_Peeper_-_Pseudacris_crucifer.png,10.0,22050
ML179013,american_toad,data\processed\american_toad\ML179013.wav,data\spectrograms\american_toad\ML179013.npy,data\spectrograms\preview\american_toad\ML179013.png,10.0,22050
ML506565931_(1),copes_gray_treefrog,data\processed\copes_gray_treefrog\ML506565931_(1).wav,data\spectrograms\copes_gray_treefrog\ML506565931_(1).npy,data\spectrograms\preview\copes_gray_treefrog\ML506565931_(1).png,10.0,22050
ML620106683,northern_cricket_frog,data\processed\northern_cricket_frog\ML620106683.wav,data\spectrograms\northern_cricket_frog\ML620106683.npy,data\spectrograms\preview\northern_cricket_frog\ML620106683.png,10.0,22050
XC895199_-_Pickerel_Frog_-_Lithobates_palustris,pickerel_frog,data\processed\pickerel_frog\XC895199_-_Pickerel_Frog_-_Lithobates_palustris.wav,data\spectrograms\pickerel_frog\XC895199_-_Pickerel_Frog_-_Lithobates_palustris.npy,data\spectrograms\preview\pickerel_frog\XC895199_-_Pickerel_Frog_-_Lithobates_palustris.png,10.0,22050
ML183666,green_tree_frog,data\processed\green_tree_frog\ML183666.wav,data\spectrograms\green_tree_frog\ML183666.npy,data\spectrograms\preview\green_tree_frog\ML183666.png,10.0,22050
ML199798,green_tree_frog,data\processed\green_tree_frog\ML199798.wav,data\spectrograms\green_tree_frog\ML199798.npy,data\spectrograms\preview\green_tree_frog\ML199798.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-88,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2003-c3-track-88.wav,data\spectrograms\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2003-c3-track-88.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2003-c3-track-88.png,10.0,22050
ML190940,american_bullfrog,data\processed\american_bullfrog\ML190940.wav,data\spectrograms\american_bullfrog\ML190940.npy,data\spectrograms\preview\american_bullfrog\ML190940.png,10.0,22050
ML200870,green_tree_frog,data\processed\green_tree_frog\ML200870.wav,data\spectrograms\green_tree_frog\ML200870.npy,data\spectrograms\preview\green_tree_frog\ML200870.png,10.0,22050
Green_Frog_call,green_frog,data\processed\green_frog\Green_Frog_call.wav,data\spectrograms\green_frog\Green_Frog_call.npy,data\spectrograms\preview\green_frog\Green_Frog_call.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-87,green_tree_frog,data\processed\green_tree_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-87.wav,data\spectrograms\green_tree_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-87.npy,data\spectrograms\preview\green_tree_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-87.png,10.0,22050
ML209180,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML209180.wav,data\spectrograms\copes_gray_treefrog\ML209180.npy,data\spectrograms\preview\copes_gray_treefrog\ML209180.png,10.0,22050
ML207909,green_tree_frog,data\processed\green_tree_frog\ML207909.wav,data\spectrograms\green_tree_frog\ML207909.npy,data\spectrograms\preview\green_tree_frog\ML207909.png,10.0,22050
ML166449,american_bullfrog,data\processed\american_bullfrog\ML166449.wav,data\spectrograms\american_bullfrog\ML166449.npy,data\spectrograms\preview\american_bullfrog\ML166449.png,10.0,22050
ML222900,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML222900.wav,data\spectrograms\copes_gray_treefrog\ML222900.npy,data\spectrograms\preview\copes_gray_treefrog\ML222900.png,10.0,22050
ML209065,american_toad,data\processed\american_toad\ML209065.wav,data\spectrograms\american_toad\ML209065.npy,data\spectrograms\preview\american_toad\ML209065.png,10.0,22050
ML129298,northern_cricket_frog,data\processed\northern_cricket_frog\ML129298.wav,data\spectrograms\northern_cricket_frog\ML129298.npy,data\spectrograms\preview\northern_cricket_frog\ML129298.png,10.0,22050
XC980875_-_Spring_Peeper_-_Pseudacris_crucifer,spring_peeper,data\processed\spring_peeper\XC980875_-_Spring_Peeper_-_Pseudacris_crucifer.wav,data\spectrograms\spring_peeper\XC980875_-_Spring_Peeper_-_Pseudacris_crucifer.npy,data\spectrograms\preview\spring_peeper\XC980875_-_Spring_Peeper_-_Pseudacris_crucifer.png,10.0,22050
ML198476,northern_cricket_frog,data\processed\northern_cricket_frog\ML198476.wav,data\spectrograms\northern_cricket_frog\ML198476.npy,data\spectrograms\preview\northern_cricket_frog\ML198476.png,10.0,22050
ML638427553,american_bullfrog,data\processed\american_bullfrog\ML638427553.wav,data\spectrograms\american_bullfrog\ML638427553.npy,data\spectrograms\preview\american_bullfrog\ML638427553.png,10.0,22050
ML199718,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199718.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199718.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199718.png,10.0,22050
Cope's_Gray_Treefrog___Hyla_crysoscelis,copes_gray_treefrog,data\processed\copes_gray_treefrog\Cope's_Gray_Treefrog___Hyla_crysoscelis.wav,data\spectrograms\copes_gray_treefrog\Cope's_Gray_Treefrog___Hyla_crysoscelis.npy,data\spectrograms\preview\copes_gray_treefrog\Cope's_Gray_Treefrog___Hyla_crysoscelis.png,10.0,22050
cope's_gray_tree_frog_call,copes_gray_treefrog,data\processed\copes_gray_treefrog\cope's_gray_tree_frog_call.wav,data\spectrograms\copes_gray_treefrog\cope's_gray_tree_frog_call.npy,data\spectrograms\preview\copes_gray_treefrog\cope's_gray_tree_frog_call.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-15,pickerel_frog,data\processed\pickerel_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-15.wav,data\spectrograms\pickerel_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-15.npy,data\spectrograms\preview\pickerel_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-15.png,10.0,22050
mixkit-night-crickets-near-the-swamp-1782,not_frogs,data\processed\not_frogs\mixkit-night-crickets-near-the-swamp-1782.wav,data\spectrograms\not_frogs\mixkit-night-crickets-near-the-swamp-1782.npy,data\spectrograms\preview\not_frogs\mixkit-night-crickets-near-the-swamp-1782.png,10.0,22050
ML182019,american_toad,data\processed\american_toad\ML182019.wav,data\spectrograms\american_toad\ML182019.npy,data\spectrograms\preview\american_toad\ML182019.png,10.0,22050
ML199710,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199710.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199710.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199710.png,10.0,22050
mixkit-quick-insect-buzz-33,not_frogs,data\processed\not_frogs\mixkit-quick-insect-buzz-33.wav,data\spectrograms\not_frogs\mixkit-quick-insect-buzz-33.npy,data\spectrograms\preview\not_frogs\mixkit-quick-insect-buzz-33.png,10.0,22050
Bullfrogs_Croaking,american_bullfrog,data\processed\american_bullfrog\Bullfrogs_Croaking.wav,data\spectrograms\american_bullfrog\Bullfrogs_Croaking.npy,data\spectrograms\preview\american_bullfrog\Bullfrogs_Croaking.png,10.0,22050
XC796213_-_Spring_Peeper_-_Pseudacris_crucifer,spring_peeper,data\processed\spring_peeper\XC796213_-_Spring_Peeper_-_Pseudacris_crucifer.wav,data\spectrograms\spring_peeper\XC796213_-_Spring_Peeper_-_Pseudacris_crucifer.npy,data\spectrograms\preview\spring_peeper\XC796213_-_Spring_Peeper_-_Pseudacris_crucifer.png,10.0,22050
ML199729,northern_cricket_frog,data\processed\northern_cricket_frog\ML199729.wav,data\spectrograms\northern_cricket_frog\ML199729.npy,data\spectrograms\preview\northern_cricket_frog\ML199729.png,10.0,22050
ML183740,green_tree_frog,data\processed\green_tree_frog\ML183740.wav,data\spectrograms\green_tree_frog\ML183740.npy,data\spectrograms\preview\green_tree_frog\ML183740.png,10.0,22050
ML637656503,american_bullfrog,data\processed\american_bullfrog\ML637656503.wav,data\spectrograms\american_bullfrog\ML637656503.npy,data\spectrograms\preview\american_bullfrog\ML637656503.png,10.0,22050
Bullfrog___Rana_catesbeiana,american_bullfrog,data\processed\american_bullfrog\Bullfrog___Rana_catesbeiana.wav,data\spectrograms\american_bullfrog\Bullfrog___Rana_catesbeiana.npy,data\spectrograms\preview\american_bullfrog\Bullfrog___Rana_catesbeiana.png,10.0,22050
ML506566271_-_2025-10-21T224141.440,pickerel_frog,data\processed\pickerel_frog\ML506566271_-_2025-10-21T224141.440.wav,data\spectrograms\pickerel_frog\ML506566271_-_2025-10-21T224141.440.npy,data\spectrograms\preview\pickerel_frog\ML506566271_-_2025-10-21T224141.440.png,10.0,22050
ML199789,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199789.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199789.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199789.png,10.0,22050
ML635707633,green_tree_frog,data\processed\green_tree_frog\ML635707633.wav,data\spectrograms\green_tree_frog\ML635707633.npy,data\spectrograms\preview\green_tree_frog\ML635707633.png,10.0,22050
Fowler's_Toad_Calling_(4),fowlers_toad,data\processed\fowlers_toad\Fowler's_Toad_Calling_(4).wav,data\spectrograms\fowlers_toad\Fowler's_Toad_Calling_(4).npy,data\spectrograms\preview\fowlers_toad\Fowler's_Toad_Calling_(4).png,10.0,22050
ML85163,northern_cricket_frog,data\processed\northern_cricket_frog\ML85163.wav,data\spectrograms\northern_cricket_frog\ML85163.npy,data\spectrograms\preview\northern_cricket_frog\ML85163.png,10.0,22050
ML634942422,pickerel_frog,data\processed\pickerel_frog\ML634942422.wav,data\spectrograms\pickerel_frog\ML634942422.npy,data\spectrograms\preview\pickerel_frog\ML634942422.png,10.0,22050
ML631931107,american_bullfrog,data\processed\american_bullfrog\ML631931107.wav,data\spectrograms\american_bullfrog\ML631931107.npy,data\spectrograms\preview\american_bullfrog\ML631931107.png,10.0,22050
"Western_Bird-voiced_Treefrog_(Hyla_avivoca_avivoca),_Male_Mating_Call",bird_voiced_tree_frog,"data\processed\bird_voiced_tree_frog\Western_Bird-voiced_Treefrog_(Hyla_avivoca_avivoca),_Male_Mating_Call.wav","data\spectrograms\bird_voiced_tree_frog\Western_Bird-voiced_Treefrog_(Hyla_avivoca_avivoca),_Male_Mating_Call.npy","data\spectrograms\preview\bird_voiced_tree_frog\Western_Bird-voiced_Treefrog_(Hyla_avivoca_avivoca),_Male_Mating_Call.png",10.0,22050
bear,not_frogs,data\processed\not_frogs\bear.wav,data\spectrograms\not_frogs\bear.npy,data\spectrograms\preview\not_frogs\bear.png,10.0,22050
ML209101,american_toad,data\processed\american_toad\ML209101.wav,data\spectrograms\american_toad\ML209101.npy,data\spectrograms\preview\american_toad\ML209101.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-89,american_bullfrog,data\processed\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-89.wav,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-89.npy,data\spectrograms\preview\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-89.png,10.0,22050
ML207809,eastern_spadefoot_toad,data\processed\eastern_spadefoot_toad\ML207809.wav,data\spectrograms\eastern_spadefoot_toad\ML207809.npy,data\spectrograms\preview\eastern_spadefoot_toad\ML207809.png,10.0,22050
mixkit-sick-woman-coughing-2218,not_frogs,data\processed\not_frogs\mixkit-sick-woman-coughing-2218.wav,data\spectrograms\not_frogs\mixkit-sick-woman-coughing-2218.npy,data\spectrograms\preview\not_frogs\mixkit-sick-woman-coughing-2218.png,10.0,22050
mixkit-little-bird-calling-chirp-23_(1),not_frogs,data\processed\not_frogs\mixkit-little-bird-calling-chirp-23_(1).wav,data\spectrograms\not_frogs\mixkit-little-bird-calling-chirp-23_(1).npy,data\spectrograms\preview\not_frogs\mixkit-little-bird-calling-chirp-23_(1).png,10.0,22050
ML183848,green_tree_frog,data\processed\green_tree_frog\ML183848.wav,data\spectrograms\green_tree_frog\ML183848.npy,data\spectrograms\preview\green_tree_frog\ML183848.png,10.0,22050
XC961808_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus,southern_leopard_frog,data\processed\southern_leopard_frog\XC961808_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus.wav,data\spectrograms\southern_leopard_frog\XC961808_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus.npy,data\spectrograms\preview\southern_leopard_frog\XC961808_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus.png,10.0,22050
ML273971,american_toad,data\processed\american_toad\ML273971.wav,data\spectrograms\american_toad\ML273971.npy,data\spectrograms\preview\american_toad\ML273971.png,10.0,22050
ML222903_(1),copes_gray_treefrog,data\processed\copes_gray_treefrog\ML222903_(1).wav,data\spectrograms\copes_gray_treefrog\ML222903_(1).npy,data\spectrograms\preview\copes_gray_treefrog\ML222903_(1).png,10.0,22050
